Unique ID;Player;Best Position;Age;Division;Salary;Transfer Value;Preferred Foot;Height;Starts;Minutes;Rating;Goals;xG-OP;xG;NP-xG/90;Penalties Taken;Penalties Scored;xG/shot;Free Kick Shots;Shots From Outside The Box Per 90 minutes;Goals From Outside The Box;Shots;Shots on Target;Headers Attempted;Headers Won;Key Headers per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Mistakes Leading to Goals;Distance;Sprints/90;Dribbles;Fouls Against;Off;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Passes Attempted;Passes Completed;PsP;Possession Lost per 90;Blk;Clearances;Interceptions;Key Tackles;Possession Won per 90;Pres A;Pres C;Shts Blckd;Tackled Completed;Tackles Attempted;Fouls Made;Yellow Cards;Red cards
2000054640;Lucas Silva;DM;27;Clubes Sem Divisão Nacional/Fora da Série D;R$16K p/m;R$0 - R$50K;Right-Footed;1.82 m;20;1776;7.12;1;-1.21;2.21;0.1;0;0;0.157857142857143;0;0.1;0;14;3;0;0;0.0;3;0;0;0;0;0.0km;0.0;0;22;0;1;0.95;0.0;0;2;0.0;220;140;0;7.0;0;0;0;0;5.6;0;0;0;23;37;17;0;0
19261047;Lucas Ventura;DM;28;Ligat Ha'Al;R$245K p/m;R$1.1M - R$11M;Right-Footed;1.80 m;45;3695;6.96;2;-1.04;3.04;0.1;0;0;0.101333333333333;0;0.2;1;30;7;128;76;0.5;4;0;4;0;0;474.7km;11.4;6;20;0;2;3.94;0.3;12;21;0.5;2161;1984;153;5.7;32;38;107;1;13.3;271;63;6;41;58;27;4;0
2000058189;Lucas Vilella;DM;27;Clubes Sem Divisão Nacional/Fora da Série D;R$15K p/m;R$ 0;Right-Footed;1.82 m;13;1170;6.99;1;0.98;0.02;0.0;0;0;0.01;0;0.0;0;2;1;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;16;0;1;1.06;0.0;0;0;0.0;260;169;0;0.0;0;0;0;0;0.0;0;0;0;20;23;13;0;0
37058775;Boyd Lucassen;D (R);27;Eredivisie;R$50K p/m;R$260K - R$2.5M;Right-Footed;1.73 m;11;1504;6.66;0;-0.24;0.24;0.0;0;0;0.06;0;0.1;0;4;0;61;36;0.3;55;8;55;8;0;193.5km;17.8;11;11;1;1;1.23;0.1;1;20;1.2;860;771;107;14.7;7;20;49;0;10.5;130;38;6;32;40;13;0;0
14047177;Emanuel Lucero;M (C);31;Federal C;R$4.9K p/m;R$260K - R$900K;Right-Footed;1.68 m;13;1189;7.31;1;-0.08;1.08;0.1;0;0;0.135;0;0.0;0;8;3;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;9;0;5;1.51;0.0;0;0;0.0;280;199;0;0.0;0;0;0;0;0.0;0;0;0;30;40;16;0;0
98017237;Gabriel Lüchinger;M (C);33;Lower Division;N/A;R$ 0;Left-Footed;1.72 m;33;3008;7.17;1;-1.11;2.11;0.1;0;0;0.10047619047619;0;0.0;0;21;3;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;45;0;0;3.19;0.0;0;0;0.0;700;497;0;0.0;0;0;0;0;0.0;0;0;0;67;78;47;1;0
39060424;Anton Logi Lúðvíksson;M (C);23;Besta deild karla;R$39K p/m;R$240K - R$2.3M;Left-Footed;1.88 m;15;1191;6.96;0;-0.76;0.76;0.1;0;0;0.126666666666667;0;0.2;0;6;1;40;21;0.5;3;1;3;1;0;152.6km;10.4;2;5;0;3;1.41;0.2;2;10;0.8;672;616;50;3.9;12;14;32;1;17.5;76;21;1;14;21;5;1;0
14032831;Damián Luengo;DM;40;Federal C;R$4.9K p/m;R$5K - R$25K;Right-Footed;1.77 m;14;1260;6.72;1;0.36;0.64;0.0;0;0;0.16;0;0.0;0;4;1;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;8;0;2;1.49;0.0;0;0;0.0;280;183;0;0.0;0;0;0;0;0.0;0;0;0;25;31;11;0;0
2000311616;Julian Lüers;DM;20;3. Liga;R$85K p/m;R$300K - R$3M;Right-Footed;1.83 m;33;2257;6.86;1;0.08;0.92;0.0;0;0;0.092;0;0.1;0;10;1;49;23;0.1;0;0;0;0;0;299.9km;10.8;7;6;0;2;3.9;0.0;0;15;0.6;1285;1192;106;7.1;19;16;67;1;10.1;137;35;5;29;37;15;1;1
7400117;Lui Tat Wah;DM;30;Yau Yee Division Four;N/A;R$ 0;Right-Footed Only;1.68 m;38;3443;6.47;2;0.74;1.26;0.0;0;0;0.0969230769230769;0;0.0;0;13;2;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;26;0;7;2.69;0.0;0;0;0.0;800;548;0;0.0;0;0;0;0;0.0;0;0;0;69;87;32;0;1
